Lagos Finance Center,33,LAGOS,0
DC-LOS,33,LAGOS,0
Test DC,33,LAGOS,0
DC-ABV,4,ABUJA,0
DC-PHC,42,PORT HARCOURT,0
DC-KAN,29,KA0,0
DC-ASB,7,ASABA,0
DC-IBD,21,IBADAN,0
DC-BNI,10,BENIN,0
总部,33,LAGOS,0
Speedaf,33,LAGOS,0
InternationalLogistics,33,LAGOS,0
LOS-CV,33,LAGOS,0
LOS-Apapa,33,LAGOS,1
LOS-VI,33,LAGOS,0
3CHUB,33,LAGOS,0
Carlcare CV,33,LAGOS,0
Oraimo,33,LAGOS,0
Carlcare VI,33,LAGOS,0
GuangZhou,33,LAGOS,0
ABV-Nipost,4,ABUJA,0
ONS-Shoprite,39,ONITSHA,0
PHC-PHC,42,PORT HARCOURT,0
Buy9ja,33,LAGOS,0
Boomplay,33,LAGOS,0
LOS-Ogun,33,LAGOS,0
IBD-GRA,21,IBADAN,0
ABK-IGBORE,2,ABEOKUTA,1
LOS-LI,33,LAGOS,1
KAN-Tarau,29,KA0,1
IBD-Mokola,21,IBADAN,1
速卖通专项组,33,LAGOS,0
Speedaf Fleet,33,LAGOS,0
LOS-CN1,33,LAGOS,0
LOS-Ipaja,33,LAGOS,1
IBD-Bodija,21,IBADAN,1
U3,33,LAGOS,1
Startime,33,LAGOS,0
LOS-Surulere,33,LAGOS,1
LOS-T3,33,LAGOS,0
ENU-GRA,17,ENUGU,0
BNI-East,10,BENIN,0
LOS-Luth,33,LAGOS,0
LOS-WH1,33,LAGOS,0
LOS-Somolu,33,LAGOS,0
ASB-Umuagu,7,ASABA,0
LOS-Ikotun,33,LAGOS,0
LOS-Festac,33,LAGOS,1
LOS-LTL,33,LAGOS,0
LOS-Ikosi,33,LAGOS,0
LOS-Mushin,33,LAGOS,0
LOS-Ota,33,LAGOS,1
LOS-Gbagada,33,LAGOS,0
LOS-Ikorodu,33,LAGOS,1
IBD-UIBD,21,IBADAN,1
LOS-Ojodu,33,LAGOS,0
SGM-SGM,2,ABEOKUTA,1
BNI-Airport,10,BENIN,0
LOS-Trade fair,33,LAGOS,1
LOS-Ajao,33,LAGOS,1
ADK-ADK,5,ADO EKITI,0
LOS-LASU,33,LAGOS,0
AKR-West,6,AKURE,0
LOS-INT,33,LAGOS,0
Los-Ogudu,33,LAGOS,0
LOS-Ijegun,33,LAGOS,1
LOS-Egbeda,33,LAGOS,1
ABK-Onikolobo,2,ABEOKUTA,1
NIPOST,33,LAGOS,0
LOS-Sangotedo,33,LAGOS,1
LOS-Oregun,33,LAGOS,1
LOS-Aguda,33,LAGOS,1
LOS-Ketu,33,LAGOS,1
ILR-Unity,26,ILORIN,1
LOS-Eleko,33,LAGOS,1
ILR-UNILORIN,26,ILORIN,0
ABK-FUNAAB,2,ABEOKUTA,0
ABK-NIPCO,2,ABEOKUTA,0
LOS-OBAWOLE,33,LAGOS,0
LOS-Lekki,33,LAGOS,0
LOS-Alaba,33,LAGOS,0
LOS-Ogba,33,LAGOS,1
LOS-Langbasa,33,LAGOS,1
AKR-East,6,AKURE,1
LOS-Itamaga,33,LAGOS,0
LOS-Ifo,33,LAGOS,0
T3-OSO (AYODELE),41,OSHOGBO,0
T3-ILR (TOPE),26,ILORIN,0
T3-ADK,5,ADO EKITI,0
T3-YOL,49,YOLA/JALINGO,0
T3-KBI,25,KEBBI,0
T3-MIU,35,MAIDUGURI,0
T3-AKR,6,AKURE,0
T3-OSO-2 (BOLA),41,OSHOGBO,0
T3-ILR-2 (MUHAMMED),26,ILORIN,0
T3-ILR-3 (OLAJIDE),26,ILORIN,0
OSO-OSO,41,OSHOGBO,0
Test A,33,LAGOS,0
Test B,34,LAGOS,0
B端打单,35,LAGOS,0
ABV-CN1,4,ABUJA,0
ABV-Jabi,4,ABUJA,1
KAD-ASD,28,KADUNA,1
ABV-Efab,4,ABUJA,0
ABV-Wuse11,4,ABUJA,1
ABV-Mararaba,4,ABUJA,0
ABV-Kubwa,4,ABUJA,1
ABV-Gwarimpa,4,ABUJA,1
LKJ-Kewon,32,LOKOJA,1
KAD-Sabon,28,KADUNA,1
ABV-LTL,4,ABUJA,0
ABV-T3,4,ABUJA,0
ABV-Lugbe,4,ABUJA,1
JOS-Polo,27,JOS,1
ZRI-Zaria,50,ZARIA,1
JOS-Thilda,27,JOS,0
LFA-Kaura,31,LAFIA,0
KAD-Mogadishu,28,KADUNA,0
MIN-NNPC,36,MINNA,0
KAD-JUPAV,28,KADUNA,1
MIN-T3,36,MINNA,0
T3-MKD,33,LAGOS,0
T3-BAC,33,LAGOS,0
T3-GBE,33,LAGOS,0
T3-JAL-1,33,LAGOS,0
T3-SKO,33,LAGOS,0
ABV-Gwagwalada,4,ABUJA,0
T3-Kafanchan,33,LAGOS,0
KAD-Zaria,28,KADUNA,1
ABV-APO,4,ABUJA,1
停用2,33,LAGOS,0
ONS-Market,39,ONITSHA,1
PHC-UPHC,42,PORT HARCOURT,0
PHC-Rumuodara,42,PORT HARCOURT,1
ABA-ACOA,1,ABA,1
UYO-UYO,47,UYO,1
CBQ-North,12,CALABAR,1
PHC-Elelenwo,42,PORT HARCOURT,1
UYO-NEPA,47,UYO,1
CBQ-UNICAL,12,CALABAR,1
CBQ-Duke,12,CALABAR,1
YEN-Okaka,48,YENAGOA,1
ENU-Haven,17,ENUGU,1
PHC-Mgbuoba,42,PORT HARCOURT,1
PHC-LTL,42,PORT HARCOURT,0
PHC-Rumuadaolu,42,PORT HARCOURT,1
PHC-T3,42,PORT HARCOURT,0
PHC-Fimeama,42,PORT HARCOURT,1
UMH-Amuzukwu,17,ENUGU,1
CBQ-Airport,12,CALABAR,0
ABA-Aba,1,ABA,1
ORI-ORI,40,OWERRI,1
ABA-CN1,1,ABA,0
KAN-CN1,29,KA0,0
停用3,33,LAGOS,0
KAN-LTL,29,KA0,0
KAN-T3,29,KA0,0
T3-JIG,33,LAGOS,0
T3-Katsina,30,KATSINA,0
T3-Yobe,33,LAGOS,0
T3-Zam,33,LAGOS,0
SAP-SAP,44,SAPELE,1
ORI-East,40,OWERRI,1
ORI-West,40,OWERRI,1
ONS-East,39,ONITSHA,1
ASB-GRA,7,ASABA,1
QRW-GRA,43,WARRI,1
ASB-LTL,7,ASABA,0
IBD-CN1,21,IBADAN,0
UNIBEN,10,BENIN,0
BNI-T3,10,BENIN,0
Carlcare2-CV,33,LAGOS,0
JOS-Terminus,27,JOS,1
T3-ZRI,50,ZARIA,0